name,srid,active,hof,positions,start,end,letter
Harry Benson,BensHa20,False,False,G,1935,1935,B
Mitchell Benson,BensMi20,False,False,NT-DT,1989,1991,B
Thomas Benson,BensTh20,False,False,LB,1984,1992,B
Troy Benson,BensTr20,False,False,LB,1986,1989,B
Albert Bentley,BentAl00,False,False,RB,1985,1992,B
Bill Bentley,BentBi00,False,False,CB,2012,2015,B
Kevin Bentley,BentKe20,False,False,LB,2002,2011,B
LeCharles Bentley,BentLe00,False,False,G-C,2002,2005,B
Ray Bentley,BentRa20,False,False,LB,1986,1992,B
Scott Bentley,bentlsco01,False,False,K,1997,2000,B
Jim Benton,BentJi00,False,False,E,1938,1947,B
Chris Bentz,BentCh20,False,False,T,1920,1920,B
Roman Bentz,BentRo20,False,False,G-T,1946,1948,B
Al Bentzin,BentAl20,False,False,G,1924,1924,B
Bene Benwikere,BenwBe00,True,False,CB,2014,2017,B
George Benyola,benyogeo01,False,False,K,1987,1987,B
Eddie Benz,BenzEd20,False,False,E,1922,1922,B
Larry Benz,BenzLa20,False,False,DB,1963,1965,B
Jake Bequette,BequJa00,False,False,DE,2012,2014,B
Bob Bercich,BercBo20,False,False,DB,1960,1961,B
Pete Bercich,BercPe20,False,False,LB,1995,2000,B
Paul Berezney,BerePa20,False,False,T,1942,1946,B
Pete Berezney,BerePe20,False,False,T,1947,1948,B
Adam Bergen,BergAd00,False,False,TE,2005,2006,B
Joe Berger,BergJo20,True,False,T,2005,2017,B
Mitch Berger,BergMi20,False,False,P,1994,2009,B
Ron Berger,BergRo20,False,False,DT-DE,1969,1972,B
Gil Bergerson,BergGi20,False,False,G-T,1932,1936,B
Eric Bergeson,BergEr20,False,False,DB,1990,1990,B
Bill Bergey,BergBi00,False,False,LB,1969,1980,B
Bruce Bergey,BergBr20,False,False,DE,1971,1971,B
Scott Bergold,BergSc20,False,False,T,1985,1985,B
Tony Bergstrom,BergTo00,True,False,OT,2012,2017,B
Nat Berhe,BerhNa00,True,False,SS,2014,2017,B
Brock Berlin,BerlBr00,False,False,QB,2007,2008,B
Eddie Berlin,BerlEd00,False,False,WR,2001,2005,B
Mackenzy Bernadeau,BernMa20,False,False,G,2009,2015,B
Chuck Bernard,BernCh20,False,False,C,1934,1934,B
Dave Bernard,BernDa20,False,False,LB-BB,1944,1945,B
George Bernard,BernGe20,False,False,G-T,1926,1926,B
Giovani Bernard,BernGi00,True,False,RB,2013,2017,B
Karl Bernard,BernKa00,False,False,RB,1987,1987,B
Rocky Bernard,BernRo20,False,False,DT,2002,2012,B
Walter Bernard,BernWa20,False,False,DB,2002,2002,B
Frank Bernardi,BernFr20,False,False,DB-HB,1955,1960,B
Mil Berner,BernMi20,False,False,C,1933,1933,B
Ed Bernet,BernEd00,False,False,E,1955,1960,B
Lee Bernet,BernLe20,False,False,T,1965,1966,B
George Bernhardt,BernGe21,False,False,G,1946,1948,B
Roger Bernhardt,BernRo21,False,False,G,1974,1975,B
Ken Bernich,BernKe20,False,False,LB,1975,1975,B
Dan Bernoske,BernDa21,False,False,G,1926,1926,B
Bobby Berns,BernBo20,False,False,G-T,1920,1924,B
Rick Berns,BernRi00,False,False,RB,1979,1983,B
Joe Bernstein,BernJo20,False,False,FB-G-T,1921,1924,B
Jordan Bernstine,BernJo00,False,False,CB,2012,2012,B
Rod Bernstine,BernRo00,False,False,RB-TE,1987,1995,B
Joy Berquist,BerqJa20,False,False,G,1924,1927,B
Tim Berra,BerrTi20,False,False,WR,1974,1974,B
Ed Berrang,BerrEd20,False,False,DE-E,1949,1952,B
Bill Berrehsem,BerrBi20,False,False,T-E,1926,1926,B
Bernard Berrian,BerrBe00,False,False,WR,2004,2011,B
Aaron Berry,BerrAa00,False,False,DB,2010,2014,B
Bertrand Berry,BerrBe99,False,False,DE,1997,2009,B
Bob Berry,BerrBo00,False,False,QB,1965,1975,B
Charlie Berry,BerrCh20,False,False,E,1925,1926,B
Connie Mack Berry,BerrCo20,False,False,E,1939,1947,B
Damien Berry,BerrDa00,False,False,RB,2012,2012,B
Ed Berry,BerrEd21,False,False,DB,1986,1987,B
Eric Berry,BerrEr99,True,False,DB,2010,2017,B
Gary Berry,BerrGa20,False,False,DB,2000,2000,B
George Berry,BerrGe20,False,False,G-T-C,1922,1926,B
Gil Berry,BerrGi20,False,False,B,1935,1935,B
Howard Berry,BerrHo20,False,False,B,1921,1921,B
Jordan Berry,BerrJo00,True,False,P,2015,2017,B
Latin Berry,BerrLa20,False,False,DB,1990,1992,B
Louis Berry,BerrLo20,False,False,P,1987,1987,B
Ray Berry,BerrRa20,False,False,LB,1987,1993,B
Raymond Berry,BerrRa00,False,True,E,1955,1967,B
Reggie Berry,BerrRe20,False,False,DB,1972,1974,B
Rex Berry,BerrRe21,False,False,DB-HB,1951,1956,B
Royce Berry,BerrRo20,False,False,DE,1969,1976,B
Wayne Berry,BerrWa00,False,False,HB-DB,1954,1954,B
Marv Berschet,BersMa20,False,False,G-DE,1954,1955,B
Brenton Bersin,BersBr00,True,False,WR,2014,2017,B
Libby Bertagnolli,BertLi20,False,False,G,1942,1945,B
Angelo Bertelli,BertAn20,False,False,QB,1946,1948,B
Jim Bertelsen,BertJi00,False,False,RB,1972,1976,B
Bill Berthusen,BertBi20,False,False,NT,1987,1987,B
Tony Berti,BertTo20,False,False,T,1995,1997,B
Jim Bertoglio,BertJi20,False,False,FB,1926,1926,B
Sean Berton,BertSe00,False,False,TE,2003,2005,B
Tony Bertuca,BertTo21,False,False,LB,1974,1974,B
Ed Berwick,BerwEd20,False,False,C-E,1926,1926,B
Will Berzinski,BerzWi00,False,False,HB,1956,1956,B
Warren Beson,BesoWa20,False,False,C,1949,1949,B
Davone Bess,BessDa00,False,False,WR,2008,2013,B
Gerald Bess,BessGe20,False,False,DB,1987,1987,B
Rufus Bess,BessRu20,False,False,DB,1979,1987,B
Don Bessillieu,BessDo20,False,False,DB,1979,1985,B
Art Best,BestAr20,False,False,RB,1977,1980,B
Greg Best,BestGr20,False,False,DB,1983,1984,B
Jahvid Best,BestJa00,False,False,RB,2010,2012,B
Keith Best,BestKe20,False,False,LB,1972,1972,B
Teddy Besta,BestTe20,False,False,B,1922,1924,B
Antoine Bethea,BethAn20,True,False,DB,2006,2017,B
Elvin Bethea,BethEl00,False,True,DE,1968,1983,B
Larry Bethea,BethLa20,False,False,DT-DE,1978,1983,B
Justin Bethel,BethJu00,True,False,CB,2012,2017,B
McLeod Bethel-Thompson,BethMc00,False,False,QB,2012,2014,B
Bobby Bethune,BethBo20,False,False,DB,1962,1962,B
George Bethune,BethGe20,False,False,LB,1989,1990,B
Larry Bettencourt,BettLa20,False,False,C,1933,1933,B
Doug Betters,BettDo00,False,False,DE,1978,1987,B
James Betterson,BettJa00,False,False,RB,1977,1978,B
Mike Bettiga,BettMi20,False,False,WR,1974,1974,B
Jerome Bettis,BettJe00,False,True,RB,1993,2005,B
Tom Bettis,BettTo20,False,False,LB,1955,1963,B
Ed Bettridge,BettEd20,False,False,LB,1964,1964,B
John Bettridge,BettJo20,False,False,FB,1937,1937,B
Ladell Betts,BettLa00,False,False,RB,2002,2010,B
Steve Beuerlein,BeueSt00,False,False,QB,1988,2003,B
Tom Beutler,BeutTo20,False,False,LB,1970,1971,B
David Beverly,BeveDa20,False,False,P,1974,1980,B
Dwight Beverly,BeveDw20,False,False,RB,1987,1987,B
